identifier,key_cricinfo,unique_name,name,born,bat_style,bowl_style,field_pos
bdadf7da,12454,JL Denly,Joseph Liam Denly,"March 16, 1986, Canterbury, Kent",Right hand Bat,Legbreak, 
ce794613,802575,T Natarajan,Thangarasu Natarajan,"April 04, 1991, Salem",Left hand Bat,Left arm Medium, 
709b0bac,35390,SS Tiwary,Saurabh Sunil Tiwary,"December 30, 1989, Jamshedpur, Bihar",Left hand Bat, , 
469ea22b,49535,KMDN Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,"July 22, 1982, Nittambuwa",Right hand Bat,Right arm Fast medium, 
2af1b6d2,228430,AN Ahmed,Abu Nechim Ahmed,"November 05, 1988, Guwahati, Assam",Right hand Bat,Right arm Medium fast, 
4ae1755b,911707,HC Brook,Harry Cherrington Brook,"February 22, 1999, Keighley, Yorkshire",Right hand Bat,Right arm Medium, 
b970a03f,6161,M Klinger,Michael Klinger,"July 04, 1980, Kew, Melbourne, Victoria",Right hand Bat, , 
2eeb4370,31104,C Madan,Chandan Madan,"October 15, 1982",Right hand Bat, ,Wicketkeeper
18e6906e,527299,A Choudhary,Aniket Vinod Choudhary,"January 28, 1990, Bikaner, Rajasthan",Right hand Bat,Left arm Medium, 
943fd425,31088,I Malhotra,Ishan Malhotra,"May 23, 1984, Srinagar",Right hand Bat,Right arm Medium fast, 
e38bce7a,326968,MG Bracewell,Michael Gordon Bracewell,"February 14, 1991, Masterton, Wairarapa",Left hand Bat,Right arm Offbreak,Wicketkeeper
45a43fe2,1060380,RD Gaikwad,Ruturaj Dashrat Gaikwad,"January 31, 1997, Pune, Maharashtra",Right hand Bat,Right arm Offbreak, 
7ca5e05d,10582,RS Bopara,Ravinder Singh Bopara,"May 04, 1985, Forest Gate, London",Right hand Bat,Right arm Medium, 
64c34cd0,42657,Shoaib Malik,Shoaib Malik,"February 01, 1982, Sialkot, Punjab",Right hand Bat,Right arm Offbreak, 
8dc152d1,595954,Duan Jansen,Duan Jansen,"May 01, 2000",Right hand Bat,Left arm Fast, 
8d92a2c3,351588,MA Wood,Mark Andrew Wood,"January 11, 1990, Ashington, Northumberland",Right hand Bat,Right arm Fast, 
6aed7e79,587152,PV Tambe,Pravin Vijay Tambe,"October 08, 1971, Bombay (now Mumbai), Maharashtra",Right hand Bat,Legbreak, 
e0351c86,51050,DNT Zoysa,Demuni Nuwan Tharanga Zoysa,"May 13, 1978, Colombo",Left hand Bat,Left arm Fast medium, 
725529bc,28779,SC Ganguly,Sourav Chandidas Ganguly,"July 08, 1972, Calcutta (now Kolkata), Bengal",Left hand Bat,Right arm Medium, 
fa463154,26184,AB Agarkar,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Fast, 
57ee1fde,430246,YS Chahal,Yuzvendra Singh Chahal,"July 23, 1990, Jind, Haryana",Right hand Bat,Legbreak Googly, 
68c56d09,625960,KA Jamieson,Kyle Alex Jamieson,"December 30, 1994, Auckland",Right hand Bat,Right arm Fast medium, 
1dc12ab9,33335,SK Raina,Suresh Kumar Raina,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",Left hand Bat,Right arm Offbreak, 
57efa3be,38407,SB Styris,Scott Bernard Styris,"July 10, 1975, Brisbane, Queensland, Australia",Right hand Bat,Right arm Medium, 
e03b66ec,41411,Mohammad Asif,Mohammad Asif,"December 20, 1982, Sheikhupura, Punjab",Left hand Bat,Right arm Fast medium, 
f19ccfad,719715,Washington Sundar,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",Left hand Bat,Right arm Offbreak, 
05c2ca46,47850,RE van der Merwe,Roelof Erasmus van der Merwe,"December 31, 1984, Johannesburg, Transvaal",Right hand Bat,Slow Left arm Orthodox, 
6afb26d6,31028,MD Mishra,Mohnish Dinesh Mishra,"February 09, 1984, Bhopal, Madhya Pradesh",Right hand Bat,Right arm Offbreak, 
c0c411cb,793447,Naveen-ul-Haq,Naveen-ul-Haq Murid,"September 23, 1999, Kabul",Right hand Bat,Right arm Medium fast, 
4180d897,53191,JE Taylor,Jerome Everton Taylor,"June 22, 1984, St Elizabeth, Jamaica",Right hand Bat,Right arm Fast, 
99d63244,290716,KM Jadhav,Kedar Mahadav Jadhav,"March 26, 1985, Pune, Maharashtra",Right hand Bat,Right arm Offbreak, 
39f01cdb,19296,KP Pietersen,Kevin Peter Pietersen,"June 27, 1980, Pietermaritzburg, Natal",Right hand Bat,Right arm Offbreak, 
e087956b,311158,BA Stokes,Benjamin Andrew Stokes,"June 04, 1991, Christchurch, Canterbury, New Zealand",Left hand Bat,Right arm Fast medium, 
41eb4a4f,35731,R Vinay Kumar,Ranganath Vinay Kumar,"February 12, 1984, Davanagere, Karnataka",Right hand Bat,Right arm Medium, 
26ff4c29,46750,RJ Peterson,Robin John Peterson,"August 04, 1979, Port Elizabeth, Cape Province",Left hand Bat,Slow Left arm Orthodox, 
2461eef2,376109,PA Reddy,Produturi Akshath Reddy,"February 11, 1991, Hyderabad",Right hand Bat,Legbreak, 
26989d80,377534,Shashank Singh,Shashank Singh,"November 21, 1991",Right hand Bat,"Right arm Medium, Right arm Offbreak", 
1c17e270,35582,RV Uthappa,Robin Venu Uthappa,"November 11, 1985, Coorg, Karnataka",Right hand Bat,Right arm Medium,Occasional Wicketkeeper
da934ee8,853265,MK Lomror,Mahipal Krishan Lomror,"November 16, 1999, Nagaur, Rajasthan",Left hand Bat,Slow Left arm Orthodox, 
619aa81f,29646,W Jaffer,Wasim Jaffer,"February 16, 1978, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Offbreak, 
a757b0d8,230559,KA Pollard,Kieron Adrian Pollard,"May 12, 1987, Tacarigua, Trinidad",Right hand Bat,Right arm Medium, 
0890552f,778963,A Manohar,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",Right hand Bat,Legbreak Googly, 
d4f9dbd4,32540,CA Pujara,Cheteshwar Arvind Pujara,"January 25, 1988, Rajkot, Gujarat",Right hand Bat,Legbreak, 
b0946605,670031,AS Joseph,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",Right hand Bat,Right arm Fast, 
e9c7f0d0,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,"September 22, 2000, Baghlan",Right hand Bat,Left arm Fast medium, 
acdc62f5,481979,A Nortje,Anrich Arno Nortje,"November 16, 1993",Right hand Bat,Right arm Fast, 
a03bba42,379145,T Shamsi,Tabraiz Shamsi,"February 18, 1990, Johannesburg, Gauteng",Right hand Bat,Left arm Wrist spin, 
508a1ea7,6683,SE Marsh,Shaun Edward Marsh,"July 09, 1983, Narrogin, Western Australia",Left hand Bat,Slow Left arm Orthodox, 
fdcb08c2,35586,A Uniyal,Amit Uniyal,"November 21, 1981, Chandigarh",Left hand Bat,Left arm Medium, 
9418198b,1161024,P Simran Singh,Prabhsimran Singh,"August 10, 2000",Right hand Bat, ,Wicketkeeper
2e78f685,1163695,KR Sen,Kuldeep Rampal Sen,"October 22, 1996, Rewa, Madhya Pradesh",Right hand Bat,Right arm Fast, 
9f961c14,29976,Joginder Sharma,Joginder Sharma,"October 23, 1983, Rohtak",Right hand Bat,Right arm Fast medium, 
3d284ca3,669365,PD Salt,Philip Dean Salt,"August 28, 1996, Bodelwyddan, North Wales",Right hand Bat,Right arm Offbreak,Wicketkeeper
dc9dd038,432783,Sachin Baby,Sachin Baby,"December 18, 1988, Thodupuzha, Kerala",Left hand Bat,Right arm Offbreak, 
844e79d1,1070665,D Brevis,Dewald Brevis,"April 29, 2003, Johannesburg",Right hand Bat,Legbreak, 
d014d5ac,914541,SE Rutherford,Sherfane Eviston Rutherford,"August 15, 1998",Left hand Bat,Right arm Fast medium, 
81c36ee9,696401,M Jansen,Marco Jansen,"May 01, 2000",Right hand Bat,Left arm Medium fast, 
a7c226e1,51782,FH Edwards,Fidel Henderson Edwards,"February 06, 1982, Gays, St Peter, Barbados",Right hand Bat,Right arm Fast, 
32198ae0,5961,MC Henriques,Moises Constantino Henriques,"February 01, 1987, Funchal, Portugal",Right hand Bat,Right arm Fast medium, 
b57f8a9a,5674,BJ Hodge,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",Right hand Bat,Right arm Offbreak, 
0a4ebc61,45434,T Henderson,Tyron Henderson,"August 01, 1974, Durban, Natal",Right hand Bat,Right arm Fast medium, 
611926bc,17991,GR Napier,Graham Richard Napier,"January 06, 1980, Colchester, Essex",Right hand Bat,Right arm Medium, 
d1c94b25,45963,CK Langeveldt,Charl Kenneth Langeveldt,"December 17, 1974, Stellenbosch, Cape Province",Right hand Bat,Right arm Fast medium, 
b5da6c24,32242,PA Patel,Parthiv Ajay Patel,"March 09, 1985, Ahmedabad, Gujarat",Left hand Bat,Right arm Offbreak,Wicketkeeper
81049310,447587,J Yadav,Jayant Yadav,"January 22, 1990, Delhi",Right hand Bat,Right arm Offbreak, 
b52ffbbd,670013,FA Allen,Fabian Anthony Allen,"May 07, 1995, Kingston, Jamaica",Right hand Bat,Slow Left arm Orthodox, 
5b16a806,574178,A Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,"October 04, 1993, Panadura",Left hand Bat,"Right arm Offbreak, Legbreak", 
9a158001,39024,Azhar Mahmood,Azhar Mahmood Sagar,"February 28, 1975, Rawalpindi, Punjab",Right hand Bat,Right arm Fast medium, 
881a9bdd,51469,S Chanderpaul,Shivnarine Chanderpaul,"August 16, 1974, Unity Village, East Coast, Demerara, Guyana",Left hand Bat,Legbreak, 
efc04be7,1182529,Noor Ahmad,Noor Ahmad Lakanwal,"January 03, 2005",Right hand Bat,Left arm Wrist spin, 
2e171977,554691,AR Patel,Axar Rajeshbhai Patel,"January 20, 1994, Anand, Gujarat",Left hand Bat,Slow Left arm Orthodox, 
af7dadf7,26206,B Akhil,Balachandra Akhil,"October 07, 1977, Bangalore, Karnataka",Right hand Bat,Right arm Medium fast, 
0994d0ae,477021,V Shankar,Vijay Shankar,"January 26, 1991, Tirunelveli, Tamil Nadu",Right hand Bat,Right arm Medium, 
7c503806,44149,J Botha,Johan Botha,"May 02, 1982, Johannesburg, Transvaal",Right hand Bat,Right arm Offbreak, 
c8f5f961,1123073,Anuj Rawat,Anuj Rawat,"October 17, 1999, Ram Nagar, Uttarakhand",Left hand Bat, , 
2bb09eb2,55988,Mohammad Ashraful,Mohammad Ashraful,"July 07, 1984, Dhaka",Right hand Bat,"Right arm Offbreak, Legbreak", 
8d2c70ad,559235,Kuldeep Yadav,Kuldeep Yadav,"December 14, 1994, Kanpur, Uttar Pradesh",Left hand Bat,Left arm Wrist spin, 
dcf81436,326017,S Kaul,Siddarth Kaul,"May 19, 1990, Pathankot, Punjab",Right hand Bat,Right arm Medium, 
ad3b6e95,1277545,Abishek Porel,Abishek Porel,"October 17, 2002",Left hand Bat, ,Wicketkeeper
e84ac20c,506612,MJ Henry,Matthew James Henry,"December 14, 1991, Christchurch, Canterbury",Right hand Bat,Right arm Fast medium, 
4663bd23,625964,TL Seifert,Tim Louis Seifert,"December 14, 1994, Wanganui",Right hand Bat, ,Wicketkeeper
6ef60d3a,391121,Kamran Khan,Kamran Khan,"March 10, 1991, Azamgarh, Uttar Pradesh",Left hand Bat,Left arm Medium fast, 
d3a3e82d,274926,AB Barath,Adrian Boris Barath,"April 14, 1990, Chaguanas, Trinidad",Right hand Bat,Right arm Offbreak, 
4d6d6280,42683,Salman Butt,Salman Butt,"October 07, 1984, Lahore, Punjab",Left hand Bat,Right arm Offbreak, 
605b7efa,390480,MC Juneja,Manprit Charanjit Juneja,"September 12, 1990, Ahmedabad, Gujarat",Right hand Bat,Right arm Offbreak, 
40caa465,331855,T Kohli,Taruwar Sushil Kohli,"December 17, 1988, Jalandhar, Punjab",Right hand Bat,Right arm Medium, 
46a9bea1,822553,TU Deshpande,Tushar Uday Deshpande,"May 15, 1995, Mumbai",Left hand Bat,Right arm Medium, 
f24c6701,1138316,M Theekshana,Morawakage Maheesh Theekshana,"August 01, 2000, Colombo",Right hand Bat,Right arm Offbreak, 
b4b99816,1070173,Shubman Gill,Shubman Gill,"September 08, 1999, Fazilka, Punjab",Right hand Bat,Right arm Offbreak, 
8ba8195d,35263,V Sehwag,Virender Sehwag,"October 20, 1978, Delhi",Right hand Bat,Right arm Offbreak, 
622cc511,30235,U Kaul,Uday Kaul,"December 02, 1987, Kangra, Himachal Pradesh",Left hand Bat, ,Wicketkeeper
6f49cc6e,717201,Shivam Sharma,Shivam Sharma,"September 09, 1993, Delhi",Right hand Bat,Right arm Offbreak, 
44afbf2d,333780,NJ Maddinson,Nicolas James Maddinson,"December 21, 1991, Nowra, New South Wales",Left hand Bat,Slow Left arm Orthodox, 
5574750c,669855,JC Archer,Jofra Chioke Archer,"April 01, 1995, Bridgetown, Barbados",Right hand Bat,Right arm Fast, 
cc777ffa,1287067,Abdul Basith,Pappanayil Abdul Basith,"October 09, 1998, Ernakulam, Kerala",Right hand Bat,Right arm Offbreak, 
7d3937ed,8002,DJ Thornely,Dominic John Thornely,"October 01, 1978, Albury, New South Wales",Right hand Bat,"Right arm Medium, Right arm Offbreak", 
aad0c365,1175496,Nithish Kumar Reddy,Kaki Nitish Kumar Reddy,"May 26, 2003, Visakhapatnam, Andhra Pradesh",Right hand Bat,Right arm Medium fast, 
6c6591ab,32130,PP Ojha,Pragyan Prayash Ojha,"September 05, 1986, Bhubaneswar, Orissa",Left hand Bat,Slow Left arm Orthodox, 
62e07f92,340063,KH Devdhar,Kedar Hemant Devdhar,"December 14, 1989, Baroda (now Vadodara), Gujarat",Right hand Bat, ,Wicketkeeper
c24a2c5d,317784,S Tyagi,Sudeep Tyagi,"September 17, 1987, Ghaziabad, Uttar Pradesh",Right hand Bat,Right arm Medium, 
c740ea83,823703,RM Patidar,Rajat Manohar Patidar,"June 01, 1993, Indore, Madhya Pradesh",Right hand Bat,Right arm Offbreak, 
6b71e6cf,50710,KC Sangakkara,Kumar Chokshanada Sangakkara,"October 27, 1977, Matale",Left hand Bat,Right arm Offbreak,Wicketkeeper
faa7365d,590327,DR Shorey,Dhruv Ranjan Shorey,"June 05, 1992, Delhi",Right hand Bat,Right arm Offbreak, 
0c94f480,446499,UBT Chand,Unmukt Bharat Thakur Chand,"March 26, 1993, Delhi",Right hand Bat,Right arm Offbreak, 
abfeb126,30049,M Kartik,Murali Kartik,"September 11, 1976, Madras (now Chennai), Tamil Nadu",Left hand Bat,Slow Left arm Orthodox, 
9219eff0,355269,JDS Neesham,James Douglas Sheahan Neesham,"September 17, 1990, Auckland",Left hand Bat,Right arm Medium fast, 
d0513f63,8291,CL White,Cameron Leon White,"August 18, 1983, Bairnsdale, Victoria",Right hand Bat,Legbreak Googly, 
21d4e29b,700167,NA Saini,Navdeep Amarjeet Saini,"November 23, 1992, Karnal, Haryana",Right hand Bat,Right arm Fast, 
98ae73b1,32966,PP Chawla,Piyush Pramod Chawla,"December 24, 1988, Aligarh, Uttar Pradesh",Left hand Bat,Legbreak, 
20a941bb,46592,M Ntini,Makhaya Ntini,"July 06, 1977, Mdingi, nr King William's Town, Cape Province",Right hand Bat,Right arm Fast, 
b274dbbd,340841,ER Dwivedi,Eklavya Rakesh Dwivedi,"July 22, 1988, Allahabad",Right hand Bat, ,Wicketkeeper
b0c772ee,5560,BJ Haddin,Bradley James Haddin,"October 23, 1977, Cowra, New South Wales",Right hand Bat, ,Wicketkeeper
7f048519,308251,DJ Willey,David Jonathan Willey,"February 28, 1990, Northampton",Left hand Bat,Left arm Fast medium, 
0dc00542,42639,Shahid Afridi,Sahibzada Mohammad Shahid Khan Afridi,"March 01, 1980, Khyber Agency",Right hand Bat,Legbreak Googly, 
dbe50b21,625371,HH Pandya,Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",Right hand Bat,Right arm Medium fast, 
d8699ab7,5616,ML Hayden,Matthew Lawrence Hayden,"October 29, 1971, Kingaroy, Queensland",Left hand Bat,Right arm Medium, 
de8d3876,33440,M Rawat,Mahesh Rawat,"October 25, 1985, Faridabad",Right hand Bat, ,Wicketkeeper
cfad138c,209457,CK Kapugedera,Chamara Kantha Kapugedera,"February 24, 1987, Kandy",Right hand Bat,Right arm Medium,Occasional Wicketkeeper
16dfcc19,43524,Umar Gul,Umar Gul,"October 15, 1982, Peshawar, North-Western Frontier Province",Right hand Bat,Right arm Fast medium, 
30a45b23,267192,SPD Smith,Steven Peter Devereux Smith,"June 02, 1989, Sydney, New South Wales",Right hand Bat,Legbreak Googly, 
0a8fce53,330902,Mustafizur Rahman,Mustafizur Rahman,"September 06, 1995, Satkhira",Left hand Bat,Left arm Fast medium, 
9440ef41,1350792,Suyash Sharma,Suyash Sharma,"May 15, 2003",Right hand Bat,Legbreak Googly, 
acc1aeda,237696,SP Jackson,Sheldon Philip Jackson,"September 27, 1986, Bhavnagar, Saurashtra",Right hand Bat, ,Wicketkeeper
b51f72a5,1079668,SS Agarwal,Shubham Sanjay Agarwal,"November 21, 1993, Raigadh, Gujarat",Right hand Bat,Legbreak Googly, 
8b3e9c7c,1070168,PP Shaw,Prithvi Pankaj Shaw,"November 09, 1999, Thane, Maharashtra",Right hand Bat,Right arm Offbreak, 
fe763256,35805,Y Venugopal Rao,Yalaka Venugopal Rao,"February 26, 1982, Visakhapatnam, Andhra Pradesh",Right hand Bat,Right arm Offbreak, 
99258814,1287033,Gurnoor Brar,Gurnoor Brar,"May 25, 2000, Muktsar, Punjab",Left hand Bat,Right arm Fast, 
890946a0,32102,NV Ojha,Naman Vinaykumar Ojha,"July 20, 1983, Ujjain, Madhya Pradesh",Right hand Bat, ,Wicketkeeper
b17e2f24,422108,KL Rahul,Kannaur Lokesh Rahul,"April 18, 1992, Bangalore, Karnataka",Right hand Bat, ,Wicketkeeper
e938e1bc,30732,P Kumar,Praveenkumar Sakat Singh,"October 02, 1986, Meerut, Uttar Pradesh",Right hand Bat,Right arm Medium, 
18c78b11,46148,RE Levi,Richard Ernst Levi,"January 14, 1988, Johannesburg",Right hand Bat,Right arm Medium, 
1da489ff,917213,S Kaushik,Shivil Kaushik,"September 07, 1995",Right hand Bat,Left arm Wrist spin, 
462411b3,625383,JJ Bumrah,Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",Right hand Bat,Right arm Fast, 
56ab442f,261354,NM Coulter-Nile,Nathan Mitchell Coulter-Nile,"October 11, 1987, Osborne Park, Western Australia",Right hand Bat,Right arm Fast, 
b63ab531,232284,LA Pomersbach,Luke Anthony Pomersbach,"September 28, 1984, Bentley, Perth, Western Australia",Left hand Bat,Right arm Offbreak, 
c3a96caf,398506,Mandeep Singh,Mandeep Singh,"December 18, 1991, Jalandhar, Punjab",Right hand Bat,Right arm Medium, 
c654af19,46393,R McLaren,Ryan McLaren,"February 09, 1983, Kimberley, Cape Province",Left hand Bat,Right arm Medium fast, 
b8a55852,37737,BB McCullum,Brendon Barrie McCullum,"September 27, 1981, Dunedin, Otago",Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper
95a2ea61,26798,S Anirudha,Srikkanth Anirudha,"April 14, 1987, Madras (now Chennai), Tamil Nadu",Right hand Bat, , 
6ec424a9,12440,ND Doshi,Nayan Dilip Doshi,"October 06, 1978, Nottingham",Right hand Bat,Slow Left arm Orthodox, 
23eeb873,447261,DL Chahar,Deepak Lokandersingh Chahar,"August 07, 1992, Agra, Uttar Pradesh",Right hand Bat,Right arm Medium, 
81c08fa3,1246528,Umran Malik,Umran Malik,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",Right hand Bat,Right arm Fast, 
fa2f1dde,1083033,K Khejroliya,Kulwant Khejroliya,"March 13, 1992, Churi Ajitgarh Jhunjhunu District, Rajasthan",Left hand Bat,Left arm Medium fast, 
6ad3a659,290629,P Amarnath,Palani Amarnath,"June 01, 1982",Right hand Bat,Right arm Medium, 
23ac69e6,211854,RJ Quiney,Robert John Quiney,"August 20, 1982, Brighton, Victoria",Left hand Bat,Right arm Medium, 
fdedb37c,6128,SM Katich,Simon Mathew Katich,"August 21, 1975, Middle Swan, Western Australia",Left hand Bat,Left arm Wrist spin, 
5bb5a915,46538,M Morkel,Morne Morkel,"October 06, 1984, Vereeniging, Transvaal",Left hand Bat,Right arm Fast, 
b2b23612,424219,RG More,Ronit Gajanan More,"February 02, 1992, Belgaum, Karnataka",Right hand Bat,Right arm Medium, 
d4eef961,393279,M de Lange,Marchant de Lange,"October 13, 1990, Tzaneen, Limpopo",Right hand Bat,Right arm Fast, 
51a3c5ef,319439,MJ McClenaghan,Mitchell John McClenaghan,"June 11, 1986, Hastings, Hawke's Bay",Left hand Bat,Left arm Fast medium, 
d1a60072,1151273,N Wadhera,Nehal Wadhera,"September 04, 2000, Ludhiana, Punjab",Left hand Bat,Legbreak, 
36d33dd0,52969,RR Sarwan,Ramnaresh Ronnie Sarwan,"June 23, 1980, Wakenaam Island, Essequibo, Guyana",Right hand Bat,Legbreak, 
896d78ad,49764,AD Mathews,Angelo Davis Mathews,"June 02, 1987, Colombo",Right hand Bat,Right arm Medium, 
30df8c66,1159722,Simarjeet Singh,Simarjeet Singh,"January 17, 1998, Delhi",Right hand Bat,Right arm Medium fast, 
39ed0d2f,1246518,KS Sharma,Karan Sunny Sharma,"October 31, 1998, Delhi",Right hand Bat,Right arm Offbreak, 
fb2d1dda,604527,N Rana,Nitish Rana,"December 27, 1993, Delhi",Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak", 
3dba85c2,31041,WA Mota,Wilkin Arvind Mota,"September 20, 1981, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Medium, 
4353bba5,224367,YA Abdulla,Yusuf Adam Abdulla,"January 17, 1983, Johannesburg, Transvaal",Left hand Bat,Left arm Fast medium, 
0d232ffd,30220,MA Khote,Musavir Asmat Khote,"April 22, 1980, Sopra, Thana, Maharashtra",Right hand Bat,Right arm Medium, 
8db7f47f,461632,RJW Topley,Reece James William Topley,"February 21, 1994, Ipswich, Suffolk",Right hand Bat,Left arm Fast medium, 
c9d33ef5,32305,RV Pawar,Rajesh Vithal Pawar,"September 06, 1979, Bombay (now Mumbai), Maharashtra",Left hand Bat,Slow Left arm Orthodox, 
6c882e9a,342619,PBB Rajapaksa,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991, Colombo",Left hand Bat,Right arm Medium, 
ae78bc32,317293,MS Gony,Manpreet Singh Gony,"January 04, 1984, Roopnagar, Punjab",Right hand Bat,Right arm Medium, 
5bdcdb72,48472,TM Dilshan,Tillakaratne Mudiyanselage Dilshan,"October 14, 1976, Kalutara",Right hand Bat,Right arm Offbreak,Wicketkeeper
2f49c897,940973,Mohammed Siraj,Mohammed Siraj,"March 13, 1994, Hyderabad",Right hand Bat,Right arm Fast, 
99b202b3,27783,A Chandila,Ajit  Chandila,"December 05, 1983, Faridabad, Haryana",Right hand Bat,Right arm Offbreak, 
4b31f3a3,1070196,Yash Thakur,Yash Ravisingh Thakur,"December 28, 1998, Kolkata",Right hand Bat,Right arm Fast medium, 
0c432afb,279562,P Parameswaran,Prasanth Parameswaran,"May 30, 1985, Thanner Mukham",Right hand Bat,Left arm Medium, 
4f629497,36326,SE Bond,Shane Edward Bond,"June 07, 1975, Christchurch, Canterbury",Right hand Bat,Right arm Fast, 
eef2536f,694211,Avesh Khan,Avesh Khan,"December 13, 1996, Indore, Madhya Pradesh",Right hand Bat,Right arm Fast medium, 
63bff7f9,5605,SM Harwood,Shane Michael Harwood,"March 01, 1974, Ballarat, Victoria",Right hand Bat,Right arm Fast medium, 
d92e42f5,269170,KP Appanna,Kotarangada Prabhu Appanna,"December 20, 1988, Kodagu, Karnataka",Right hand Bat,Slow Left arm Orthodox, 
710dd98c,47711,MN van Wyk,Morne Nico van Wyk,"March 20, 1979, Bloemfontein, Orange Free State",Right hand Bat,Slow Left arm Orthodox,Wicketkeeper
5f5d3ad4,377437,SS Shaikh,Shoaib Shabbir Shaikh,"January 18, 1987, Bombay (now Mumbai), Maharashtra",Right hand Bat,Right arm Medium, 
d1c36f5c,298438,JJ Roy,Jason Jonathan Roy,"July 21, 1990, Durban, South Africa",Right hand Bat, , 
14b14cd8,277472,DM Bravo,Darren Michael Bravo,"February 06, 1989, Trinidad",Left hand Bat,Right arm Medium,Occasional Wicketkeeper
b552a935,47569,AC Thomas,Alfonso Clive Thomas,"February 09, 1977, Cape Town, Cape Province",Right hand Bat,Right arm Fast medium, 
db584dad,51880,CH Gayle,Christopher Henry Gayle,"September 21, 1979, Kingston, Jamaica",Left hand Bat,Right arm Offbreak, 
e412cb64,244639,HF Gurney,Harry Frederick Gurney,"October 25, 1986, Nottingham",Right hand Bat,Left arm Fast medium, 
ddb00822,32211,P Prasanth,Padmanabhan Prasanth,"September 03, 1985, Thiruvananthapuram, Kerala",Left hand Bat,Slow Left arm Orthodox, 
c9cac448,24790,T Mishra,Tanmay Mishra,"December 22, 1986, Mumbai, India",Right hand Bat,Right arm Fast medium, 
86dc8f2e,45789,JH Kallis,Jacques Henry Kallis,"October 16, 1975, Pinelands, Cape Town, Cape Province",Right hand Bat,Right arm Fast medium, 
541f85c9,302579,SP Goswami,Shreevats Pratyush Goswami,"May 18, 1989, Calcutta (now Kolkata), Bengal",Left hand Bat, ,Wicketkeeper
a386e91b,10772,PD Collingwood,Paul David Collingwood,"May 26, 1976, Shotley Bridge, Co Durham",Right hand Bat,Right arm Medium, 
c3d35165,46248,JA Morkel,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",Left hand Bat,Right arm Medium fast, 
6b8eb6e5,34274,S Sreesanth,Shanthakumaran Sreesanth,"February 06, 1983, Kothamangalam, Kerala",Right hand Bat,Right arm Fast medium, 
9eb1455b,826915,NT Ellis,Nathan Ellis,"September 22, 1994, Greenacre, New South Wales",Right hand Bat,Right arm Fast medium, 
8291f939,371150,AL Menaria,Ashok Lakshminarayan Menaria,"October 29, 1990, Udaipur, Rajasthan",Left hand Bat,Slow Left arm Orthodox, 
bb351c23,8917,MM Ali,Moeen Munir Ali,"June 18, 1987, Birmingham",Left hand Bat,Right arm Offbreak, 
9.95E+265,337790,HE van der Dussen,Hendrik Erasmus van der Dussen,"February 07, 1989, Pretoria, Transvaal",Right hand Bat,Legbreak, 
99ed60f8,230554,JPR Scantlebury-Searles,Javon Philip Ramon Scantlebury-Searles,"December 21, 1986, Durants Village, St James, Barbados",Right hand Bat,Right arm Fast medium, 
66b30f71,227712,AB Dinda,Ashok Bhimchandra Dinda,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",Right hand Bat,Right arm Medium fast, 
27e71d47,431876,K Upadhyay,Krishnakant Upadhyay,"June 18, 1986, Agar, Uttar Pradesh",Right hand Bat,Right arm Medium, 
1763bc6c,319744,X Thalaivan Sargunam,Xavier Thalaivan Sargunam,"May 15, 1985, Nagar Kowil, Tamil Nadu",Right hand Bat,Right arm Offbreak, 
50758325,5472,B Geeves,Brett Geeves,"June 13, 1982, Claremont, Tasmania",Right hand Bat,Right arm Fast medium, 
c995d726,45705,CA Ingram,Colin Alexander Ingram,"July 03, 1985, Port Elizabeth",Left hand Bat,Legbreak,Wicketkeeper
765a4731,1125688,Mukesh Choudhary,Mukesh Choudhary,"July 06, 1996, Pardodas, Bhilwara, Rajsthan",Left hand Bat,Left arm Medium, 
798cc28e,1083030,KM Asif,KM Asif,"July 24, 1993, Edavanna,Malappuram",Right hand Bat,Right arm Medium, 
9601c534,422342,SD Lad,Siddhesh Dinesh Lad,"May 23, 1992, Mumbai",Right hand Bat,Right arm Offbreak, 
3241e3fd,604302,N Pooran,Nicholas Pooran,"October 02, 1995, Trinidad",Left hand Bat,Right arm Offbreak,Wicketkeeper
